"PORT","TONNAGETYPE","YEAR","TONNE"
"TANJUNG PELEPAS","IMPORT","2005",627
"TANJUNG PELEPAS","TRANS-SHIPMENT","2005",56357
"KELANG","EXPORT","2006",56330
"KELANG","IMPORT","2006",65674
"KELANG","TRANS-SHIPMENT","2006",0
"PULAU PINANG","EXPORT","2006",9526
"PULAU PINANG","IMPORT","2006",13371
"PULAU PINANG","TRANS-SHIPMENT","2006",0
"JOHOR","EXPORT","2006",13305
"JOHOR","IMPORT","2006",14162
"JOHOR","TRANS-SHIPMENT","2006",0
"KUANTAN","EXPORT","2006",6555
"KUANTAN","IMPORT","2006",4118
"KUANTAN","TRANS-SHIPMENT","2006",0
"BINTULU","EXPORT","2006",31731
"BINTULU","IMPORT","2006",2755
"BINTULU","TRANS-SHIPMENT","2006",2020
"TANJUNG BRUAS","EXPORT","2006",7
"TANJUNG BRUAS","IMPORT","2006",399
"TANJUNG BRUAS","TRANS-SHIPMENT","2006",0
"KUCHING","EXPORT","2006",1977
"KUCHING","IMPORT","2006",5204
"KUCHING","TRANS-SHIPMENT","2006",22
"MIRI","EXPORT","2006",5246
"MIRI","IMPORT","2006",369
"MIRI","TRANS-SHIPMENT","2006",0
"RAJANG","EXPORT","2006",3476
"RAJANG","IMPORT","2006",1357
"RAJANG","TRANS-SHIPMENT","2006",0
"SABAH","EXPORT","2006",16902
"SABAH","IMPORT","2006",11238
"SABAH","TRANS-SHIPMENT","2006",0
"PORT DICKSON","EXPORT","2006",6797
"PORT DICKSON","IMPORT","2006",5250
"PORT DICKSON","TRANS-SHIPMENT","2006",0
"KEMAMAN","EXPORT","2006",1141
"KEMAMAN","IMPORT","2006",2147
"KEMAMAN","TRANS-SHIPMENT","2006",0
"TELUK EWA","EXPORT","2006",3185
"TELUK EWA","IMPORT","2006",573
"TELUK EWA","TRANS-SHIPMENT","2006",0
"TANJUNG PELEPAS","EXPORT","2006",2854
"TANJUNG PELEPAS","IMPORT","2006",728
"TANJUNG PELEPAS","TRANS-SHIPMENT","2006",65194
"KELANG","EXPORT","2007",62730
"KELANG","IMPORT","2007",72784
"KELANG","TRANS-SHIPMENT","2007",0
"PULAU PINANG","EXPORT","2007",12524
"PULAU PINANG","IMPORT","2007",14698
"PULAU PINANG","TRANS-SHIPMENT","2007",269
"JOHOR","EXPORT","2007",11289
"JOHOR","IMPORT","2007",17553
"JOHOR","TRANS-SHIPMENT","2007",0
"KUANTAN","EXPORT","2007",6188
"KUANTAN","IMPORT","2007",3877
"KUANTAN","TRANS-SHIPMENT","2007",0
"BINTULU","EXPORT","2007",31255
"BINTULU","IMPORT","2007",2833
"BINTULU","TRANS-SHIPMENT","2007",4497
"TANJUNG BRUAS","EXPORT","2007",0
"TANJUNG BRUAS","IMPORT","2007",606
"TANJUNG BRUAS","TRANS-SHIPMENT","2007",0
"KUCHING","EXPORT","2007",2343
"KUCHING","IMPORT","2007",5272
"KUCHING","TRANS-SHIPMENT","2007",32
"MIRI","EXPORT","2007",6318
"MIRI","IMPORT","2007",521
"MIRI","TRANS-SHIPMENT","2007",0
"RAJANG","EXPORT","2007",3433
"RAJANG","IMPORT","2007",1540
"RAJANG","TRANS-SHIPMENT","2007",0
"SABAH","EXPORT","2007",16493
"SABAH","IMPORT","2007",12660
"SABAH","TRANS-SHIPMENT","2007",0
"PORT DICKSON","EXPORT","2007",4302
"PORT DICKSON","IMPORT","2007",8493
"PORT DICKSON","TRANS-SHIPMENT","2007",0
"KEMAMAN","EXPORT","2007",1806
"KEMAMAN","IMPORT","2007",1992
"KEMAMAN","TRANS-SHIPMENT","2007",0
"TELUK EWA","EXPORT","2007",3208
"TELUK EWA","IMPORT","2007",555
"TELUK EWA","TRANS-SHIPMENT","2007",0
"TANJUNG PELEPAS","EXPORT","2007",2926
"TANJUNG PELEPAS","IMPORT","2007",754
"TANJUNG PELEPAS","TRANS-SHIPMENT","2007",80009
"KELANG","EXPORT","2008",70343
"KELANG","IMPORT","2008",82005
"KELANG","TRANS-SHIPMENT","2008",0
"PULAU PINANG","EXPORT","2008",10707
"PULAU PINANG","IMPORT","2008",14967
"PULAU PINANG","TRANS-SHIPMENT","2008",325
"JOHOR","EXPORT","2008",14211
"JOHOR","IMPORT","2008",15561
"JOHOR","TRANS-SHIPMENT","2008",0
"KUANTAN","EXPORT","2008",5574
"KUANTAN","IMPORT","2008",3831
"KUANTAN","TRANS-SHIPMENT","2008",0
"BINTULU","EXPORT","2008",34724
"BINTULU","IMPORT","2008",3446
"BINTULU","TRANS-SHIPMENT","2008",2301
"TANJUNG BRUAS","EXPORT","2008",14
"TANJUNG BRUAS","IMPORT","2008",543
"TANJUNG BRUAS","TRANS-SHIPMENT","2008",0
"KUCHING","EXPORT","2008",2136
"KUCHING","IMPORT","2008",5347
"KUCHING","TRANS-SHIPMENT","2008",68
"MIRI","EXPORT","2008",6155
"MIRI","IMPORT","2008",684
"MIRI","TRANS-SHIPMENT","2008",0
"RAJANG","EXPORT","2008",3404
"RAJANG","IMPORT","2008",1604
"RAJANG","TRANS-SHIPMENT","2008",0
"SABAH","EXPORT","2008",16493
"SABAH","IMPORT","2008",12660
"SABAH","TRANS-SHIPMENT","2008",0
"PORT DICKSON","EXPORT","2008",3047
